Stn Id,Stn Name,CIMIS Region,Jan ETo (in),Feb ETo (in),Mar ETo (in),Apr ETo (in),May ETo (in),Jun ETo (in),Jul ETo (in),Aug ETo (in),Sep ETo (in),Oct ETo (in),Nov ETo (in),Dec ETo (in),Total ETo (in)
2,FivePoints,San Joaquin Valley,1.30,2.27,4.25,6.20,8.10,8.86,8.66,8.20,6.32,4.37,2.22,1.27,62.02
5,Shafter,San Joaquin Valley,1.33,2.24,3.97,5.60,7.34,8.02,8.15,7.40,5.68,3.86,2.01,1.27,56.87
6,Davis,Sacramento Valley,1.28,2.01,3.66,5.46,7.18,8.21,8.34,7.41,5.75,4.16,2.05,1.23,56.74
7,Firebaugh/Telles,San Joaquin Valley,1.11,2.01,3.85,5.60,7.43,7.95,8.20,7.29,5.53,3.86,1.83,0.99,55.65
12,Durham,Sacramento Valley,1.20,1.95,3.37,4.88,6.55,7.36,7.52,6.59,4.91,3.35,1.63,1.05,50.36
13,Camino,Sierra Foothill,1.55,1.99,3.29,4.61,6.32,7.87,8.93,8.23,6.08,4.02,1.98,1.34,56.21
15,Stratford,San Joaquin Valley,1.24,2.20,4.17,6.14,8.05,8.95,9.03,8.10,6.13,4.17,2.15,1.21,61.54
35,Bishop,Bishop,1.88,2.67,4.87,6.22,7.37,7.96,7.98,7.26,5.53,3.92,2.34,1.64,59.64
39,Parlier,San Joaquin Valley,1.14,1.95,3.65,5.24,6.99,7.90,8.08,7.14,5.27,3.45,1.72,1.05,53.58
41,Calipatria/Mulberry,Imperial/Coachella Valley,2.53,3.36,5.38,6.97,8.46,8.98,9.10,8.37,6.73,5.02,3.06,2.24,70.2
43,McArthur,Northeast Plateau,0.89,1.57,3.02,4.41,5.94,7.30,8.14,7.09,4.96,2.97,1.22,0.82,48.33
44,U.C. Riverside,Los Angeles Basin,2.48,2.91,4.39,5.29,6.13,6.82,6.93,7.09,5.50,4.05,2.79,2.29,56.67
47,Brentwood,San Francisco Bay,1.16,2.06,3.75,5.49,7.11,8.01,8.29,7.45,5.66,3.88,1.94,1.23,56.03
52,San Luis Obispo,Central Coast Valleys,2.24,2.56,3.83,4.92,5.63,6.13,6.25,5.80,4.81,3.96,2.71,2.16,51
54,Blackwells Corner,San Joaquin Valley,1.52,2.36,4.22,5.96,7.86,8.86,9.40,8.45,6.25,4.19,2.18,1.43,62.68
56,Los Banos,San Joaquin Valley,1.17,2.07,3.83,5.63,7.55,8.46,8.24,7.48,5.63,3.82,1.88,1.12,56.88
57,Buntingville,Northeast Plateau,1.14,1.89,3.62,5.10,6.56,7.78,8.59,7.63,5.39,3.36,1.62,0.94,53.62
62,Temecula,South Coast Valleys,2.70,2.77,3.95,4.92,5.41,6.11,6.68,6.44,5.15,4.16,3.19,2.55,54.03
64,Santa Ynez,Central Coast Valleys,1.84,2.40,3.79,5.06,5.95,6.38,6.60,6.14,4.80,3.66,2.31,1.66,50.59
68,Seeley,Imperial/Coachella Valley,2.76,3.80,6.17,7.87,9.32,9.80,9.20,8.27,6.77,5.35,3.37,2.16,74.84
70,Manteca,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
71,Modesto,San Joaquin Valley,1.12,1.95,3.63,5.27,6.96,7.93,7.99,6.93,5.14,3.46,1.74,1.12,53.24
75,Irvine,South Coast Valleys,2.34,2.61,3.82,4.82,5.21,5.73,6.21,6.00,4.77,3.64,2.63,2.07,49.85
77,Oakville,North Coast Valleys,1.31,1.82,3.30,4.71,5.92,6.66,7.08,6.31,4.92,3.49,1.76,1.21,48.49
78,Pomona,Los Angeles Basin,1.95,2.41,3.75,4.55,5.19,5.97,6.60,6.41,4.88,3.46,2.31,1.72,49.2
80,Fresno State,San Joaquin Valley,1.17,1.98,3.73,5.43,7.33,8.41,8.80,7.82,5.69,3.68,1.85,1.10,56.99
83,Santa Rosa,North Coast Valleys,1.15,1.76,3.11,4.34,5.48,6.20,6.36,5.75,4.56,3.22,1.58,0.99,44.5
84,Browns Valley,Sierra Foothill,1.20,1.86,3.25,4.68,6.40,7.63,8.22,7.37,5.53,3.76,1.81,1.12,52.83
86,Lindcove,San Joaquin Valley,1.17,1.83,3.40,4.89,6.79,7.80,8.09,7.22,5.29,3.43,1.72,1.14,52.77
87,Meloland,Imperial/Coachella Valley,2.56,3.56,5.87,7.57,9.07,9.39,9.10,8.44,6.96,5.17,3.12,2.30,73.11
88,Cuyama,Central Coast Valleys,2.16,2.56,4.10,5.54,7.16,8.26,8.66,7.93,6.02,4.36,2.63,1.81,61.19
90,Alturas,Northeast Plateau,1.06,1.63,2.96,4.07,5.34,6.67,7.73,6.82,4.78,2.88,1.31,0.80,46.05
91,Tulelake FS,Northeast Plateau,0.89,1.57,2.95,4.21,5.81,6.80,7.37,6.55,4.64,2.76,1.17,0.72,45.44
92,Kesterson,San Joaquin Valley,--,--,--,--,--,--,--,--,--,--,--,--,
99,Santa Monica,Los Angeles Basin,2.31,2.59,3.80,4.80,5.10,5.23,5.72,5.63,4.40,3.53,2.57,2.19,47.87
103,Windsor,North Coast Valleys,1.10,1.76,3.17,4.42,5.68,6.69,6.71,5.92,4.57,3.24,1.56,1.05,45.87
104,De Laveaga,Monterey Bay,1.59,2.16,3.55,4.43,4.98,5.50,5.24,4.82,3.95,3.03,1.80,1.37,42.42
105,Westlands,San Joaquin Valley,1.30,2.22,4.18,6.15,7.98,9.14,9.29,8.32,6.38,4.37,2.19,1.26,62.78
106,Sanel Valley,North Coast Valleys,1.27,1.86,3.28,4.66,6.26,7.37,7.94,6.90,5.14,3.42,1.57,1.10,50.77
107,Santa Barbara,Central Coast Valleys,1.75,2.34,3.61,4.66,4.98,4.92,5.40,5.16,4.03,3.24,2.13,1.65,43.87
109,Carneros,San Francisco Bay,1.24,1.88,3.18,4.43,5.61,6.06,6.25,5.46,4.56,3.17,1.65,1.07,44.56
111,Green Valley Road,Monterey Bay,1.51,2.03,3.50,4.63,5.15,5.67,5.76,5.35,4.22,3.21,1.82,1.49,44.34
113,King City-Oasis Rd.,Monterey Bay,1.82,2.40,4.06,5.47,6.90,7.61,7.66,6.82,5.38,3.97,2.27,1.66,56.02
114,Arroyo Seco,Monterey Bay,1.79,2.38,3.99,5.33,6.52,7.02,6.93,6.19,4.85,3.68,2.15,1.57,52.4
116,Salinas North,Monterey Bay,1.56,1.93,3.11,4.09,4.50,4.92,4.44,4.21,3.56,2.87,1.84,1.47,38.5
117,Victorville,San Bernardino,2.22,3.01,4.98,6.48,7.98,9.11,9.53,8.80,6.55,4.52,2.74,2.02,67.94
121,Dixon,Sacramento Valley,1.25,2.04,3.68,5.27,6.99,7.99,8.31,7.31,5.56,3.97,1.89,1.22,55.48
124,Panoche,San Joaquin Valley,1.27,2.20,4.09,5.88,7.87,8.70,8.50,7.43,5.71,3.96,1.93,1.27,58.81
125,Arvin-Edison,San Joaquin Valley,1.54,2.37,4.12,5.66,7.56,8.73,9.14,8.50,6.18,4.15,2.13,1.44,61.52
126,San Benito,Monterey Bay,1.52,2.04,3.47,4.66,5.90,6.67,6.89,6.22,4.90,3.58,1.92,1.42,49.19
129,Pajaro,Monterey Bay,1.76,2.20,3.51,4.57,5.21,5.33,5.15,4.61,3.98,3.23,1.95,1.65,43.15
131,Fair Oaks,Sacramento Valley,1.12,1.78,3.24,4.52,6.35,7.44,7.91,7.03,5.14,3.36,1.61,1.04,50.54
135,Blythe NE,Imperial/Coachella Valley,2.57,3.40,5.67,7.43,8.96,9.15,8.72,7.97,6.21,4.84,3.00,2.28,70.2
136,Oasis,Imperial/Coachella Valley,2.78,3.53,5.70,6.97,8.41,8.40,7.89,7.50,6.82,4.90,2.99,2.27,68.16
139,Winters,Sacramento Valley,--,--,--,--,--,--,--,--,--,--,--,--,
140,Twitchell Island,San Francisco Bay,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
142,Orange Cove,San Joaquin Valley,1.33,1.99,3.66,5.18,7.33,8.39,9.02,8.10,6.01,3.86,1.95,1.22,58.04
143,San Juan Valley,Monterey Bay,1.54,2.06,3.55,4.73,6.04,6.75,7.12,6.36,5.01,3.58,1.93,1.40,50.07
144,Petaluma East,North Coast Valleys,1.25,1.78,3.03,4.25,5.40,6.25,6.31,5.47,4.35,3.12,1.63,1.09,43.93
146,Belridge,San Joaquin Valley,1.46,2.36,4.17,5.63,7.46,8.21,8.34,7.56,5.74,3.86,2.05,1.47,58.31
147,Otay Lake,South Coast Valleys,2.26,2.82,4.10,4.95,5.47,5.97,6.15,6.10,4.88,3.89,2.77,2.13,51.49
148,Merced,San Joaquin Valley,1.27,2.00,3.64,5.00,6.93,7.97,8.48,7.61,5.58,3.60,1.79,1.08,54.95
150,Miramar,South Coast Valleys,2.17,2.65,3.74,4.63,4.97,5.40,5.94,5.81,4.64,3.52,2.49,2.01,47.97
151,Ripley,Imperial/Coachella Valley,2.64,3.42,5.75,7.35,8.68,8.88,8.65,8.00,6.25,4.66,2.85,2.24,69.37
152,Camarillo,Central Coast Valleys,2.54,2.61,3.70,4.62,5.12,5.30,5.85,5.45,4.33,3.42,2.61,2.17,47.72
153,Escondido SPV,South Coast Valleys,2.39,2.75,4.05,5.04,5.76,6.59,6.98,6.62,5.20,3.96,2.73,2.12,54.19
155,Bryte (experimental),Sacramento Valley,--,--,--,--,--,--,--,--,--,--,--,--,
157,Point San Pedro,San Francisco Bay,1.43,2.03,3.26,4.53,5.35,5.95,6.22,5.52,4.46,3.20,1.78,1.29,45.02
158,Bennett Valley,North Coast Valleys,1.18,1.76,3.10,4.11,5.45,6.54,6.59,5.67,4.48,3.02,1.53,1.05,44.48
159,Monrovia,Los Angeles Basin,2.17,2.54,3.85,4.61,5.21,6.00,6.58,6.38,4.95,3.55,2.48,1.90,50.22
160,San Luis Obispo West,Central Coast Valleys,2.21,2.59,3.82,4.64,5.36,5.82,5.96,5.50,4.71,3.83,2.53,1.99,48.96
163,Atascadero,Central Coast Valleys,1.73,2.15,3.67,4.80,5.97,6.61,6.91,6.35,4.98,3.57,2.06,1.51,50.31
165,Sisquoc,Central Coast Valleys,2.21,2.51,3.92,4.86,5.83,6.22,6.33,5.74,4.56,3.53,2.42,1.73,49.86
169,Porterville,San Joaquin Valley,1.26,2.03,3.71,5.06,6.88,7.57,8.02,7.25,5.34,3.45,1.83,1.16,53.56
170,Concord,San Francisco Bay,1.27,1.92,3.34,4.69,6.30,7.23,7.50,6.66,5.00,3.34,1.73,1.10,50.08
171,Union City,San Francisco Bay,1.37,1.96,3.31,4.44,5.39,6.04,6.23,5.39,4.38,3.08,1.68,1.22,44.49
173,Torrey Pines,South Coast Valleys,2.15,2.53,3.42,4.14,4.17,4.27,4.66,4.55,3.69,2.93,2.31,1.92,40.74
174,Long Beach,Los Angeles Basin,1.94,2.36,3.67,4.58,4.74,4.89,5.64,5.45,4.48,3.21,2.08,1.66,44.7
175,Palo Verde II,Imperial/Coachella Valley,2.56,3.44,5.69,6.88,8.08,8.86,8.45,7.94,6.15,4.49,2.75,2.06,67.35
178,Moraga,San Francisco Bay,1.30,1.93,3.25,4.40,5.45,6.01,6.58,5.70,4.59,3.23,1.73,1.23,45.4
179,Winchester,South Coast Valleys,2.28,2.72,4.33,5.43,6.60,7.41,7.96,7.70,6.11,4.27,2.73,1.92,59.46
181,Westmorland North,Imperial/Coachella Valley,2.34,3.17,5.61,7.12,8.48,8.95,8.71,7.95,6.53,5.00,3.03,2.06,68.95
182,Delano,San Joaquin Valley,1.28,2.13,3.85,5.30,7.00,8.01,8.18,7.44,5.47,3.46,1.81,1.18,55.11
183,Owens Lake North,Bishop,--,--,--,--,--,--,--,--,--,--,--,--,
184,San Diego II,South Coast Valleys,2.21,2.71,3.83,4.55,4.78,4.97,5.34,5.31,4.43,3.38,2.44,1.95,45.9
187,Black Point,North Coast Valleys,1.37,2.02,3.38,4.73,6.02,6.93,6.92,6.11,4.89,3.41,1.81,1.24,48.83
189,Owens Lake South,Bishop,--,--,--,--,--,--,--,--,--,--,--,--,
191,Pleasanton,San Francisco Bay,1.51,2.17,3.63,4.94,6.16,7.10,7.53,6.61,4.98,3.50,1.93,1.41,51.47
192,Lake Arrowhead,San Bernardino,1.71,2.24,3.85,5.01,6.12,7.14,7.35,6.96,5.24,3.62,2.39,1.59,53.22
193,Pacific Grove,Monterey Bay,1.76,2.41,3.42,4.16,4.39,4.26,3.86,3.33,3.47,2.99,1.96,1.74,37.75
194,Oakdale,San Joaquin Valley,1.21,2.04,3.51,4.96,6.82,8.08,8.61,7.52,5.52,3.62,1.79,1.12,54.8
195,Auburn,Sierra Foothill,1.23,1.87,3.11,4.66,6.24,7.22,8.20,7.56,5.57,3.68,1.76,1.00,52.1
197,Palmdale,Los Angeles Basin,2.26,3.11,4.95,6.59,8.22,9.24,9.62,8.50,6.42,4.56,2.90,2.00,68.37
198,Santa Paula,Central Coast Valleys,2.67,2.96,4.17,5.03,5.81,5.95,6.10,5.93,4.82,4.07,2.96,2.37,52.84
199,Big Bear Lake,San Bernardino,1.86,2.37,3.98,5.19,6.32,7.02,6.36,5.99,4.83,3.64,2.26,1.56,51.38
200,Indio 2,Imperial/Coachella Valley,2.62,3.71,6.07,7.77,9.18,9.75,9.72,8.95,7.17,5.17,3.22,2.28,75.61
202,Nipomo,Central Coast Valleys,2.19,2.54,3.54,4.58,4.92,4.94,4.97,4.42,3.79,3.36,2.38,1.87,43.5
204,Santa Clarita,Los Angeles Basin,3.05,3.39,5.10,6.28,7.13,8.04,8.66,8.39,6.44,5.04,3.54,2.66,67.72
205,Coalinga,San Joaquin Valley,1.94,2.75,4.41,6.32,8.08,9.58,9.93,8.95,6.89,4.81,2.61,1.72,67.99
206,Denair II,San Joaquin Valley,1.24,2.06,3.56,5.16,6.77,8.08,8.37,7.33,5.42,3.57,1.84,1.16,54.56
207,Borrego Springs,Imperial/Coachella Valley,2.38,3.62,5.91,7.53,8.44,8.98,8.88,8.28,6.66,4.83,3.03,2.09,70.63
208,La Quinta II,Imperial/Coachella Valley,2.49,3.45,5.72,6.94,8.26,8.75,8.62,7.92,6.45,4.62,2.85,2.12,68.19
209,Watsonville West II,Monterey Bay,1.73,2.18,3.37,4.36,4.73,4.84,4.57,3.93,3.74,3.18,1.98,1.61,40.22
210,Carmel,Monterey Bay,1.80,2.23,3.38,4.21,4.25,4.81,4.80,4.35,3.95,3.25,1.99,1.47,40.49
211,Gilroy,San Francisco Bay,1.69,2.35,3.66,5.08,6.07,6.78,7.06,6.17,5.18,3.85,2.13,1.51,51.53
212,Hastings Tract East,Sacramento Valley,1.25,2.08,3.40,5.16,7.15,8.34,9.03,7.83,6.17,3.83,1.86,1.20,57.3
213,El Cerrito,San Francisco Bay,1.66,2.06,3.17,4.31,4.82,5.48,5.25,4.38,4.06,3.34,1.89,1.49,41.91
214,Salinas South II,Monterey Bay,1.82,2.39,3.61,4.69,5.20,5.91,5.98,5.43,4.55,3.60,2.12,1.72,47.02
215,Chatsworth,Los Angeles Basin,3.35,3.49,4.87,5.83,5.78,6.90,7.27,7.36,5.83,4.84,3.62,3.17,62.31
216,Arleta,Los Angeles Basin,2.62,3.15,4.47,5.59,5.88,6.65,7.47,7.28,5.71,4.40,2.92,2.43,58.57
217,Moorpark,Central Coast Valleys,2.55,3.14,4.43,5.54,5.43,6.15,6.68,6.48,5.09,4.34,3.36,2.56,55.75
218,Thermal South,Imperial/Coachella Valley,2.69,3.86,6.42,8.03,9.30,9.29,9.59,9.05,7.08,5.26,3.24,2.41,76.22
219,West Hills,Los Angeles Basin,2.51,2.96,4.34,5.51,5.75,6.69,7.13,6.89,5.53,4.16,2.79,2.25,56.51
220,Palmdale Central,Los Angeles Basin,2.00,2.91,4.60,6.24,7.37,8.45,8.65,8.15,6.04,4.22,2.51,1.80,62.94
221,Cadiz Valley,San Bernardino,2.80,4.14,6.56,8.32,9.81,10.23,9.85,9.27,7.29,5.52,3.49,2.43,79.71
222,Gerber South,Sacramento Valley,1.33,2.28,3.43,5.41,7.26,8.67,8.49,7.14,5.53,3.98,1.89,1.37,56.78
223,North Hollywood,Los Angeles Basin,2.17,2.54,3.85,4.61,5.21,6.00,6.58,6.38,4.95,3.55,2.48,1.90,50.22
224,Shasta College,Sacramento Valley,1.75,1.78,3.02,4.89,6.88,8.34,8.37,7.24,5.34,3.66,1.86,1.05,54.18
225,Scott Valley,Northeast Plateau,0.89,1.49,2.82,4.46,6.07,7.46,7.91,6.68,4.54,2.75,1.25,0.62,46.94
226,Woodland,Sacramento Valley,1.56,2.49,3.77,5.76,7.31,8.03,8.07,7.15,5.62,3.96,2.07,1.58,57.37
227,Plymouth,Sierra Foothill,1.46,1.94,2.98,4.47,5.81,7.09,7.54,6.96,5.04,3.38,1.68,1.18,49.53
228,Diamond Springs,Sierra Foothill,1.66,2.22,3.25,4.83,6.26,7.68,8.44,7.76,5.67,3.75,1.94,1.34,54.8
229,Laguna Seca,Monterey Bay,1.66,2.24,3.31,4.29,4.58,5.25,5.32,4.81,3.97,3.19,1.92,1.49,42.03
231,Lompoc,Central Coast Valleys,2.13,2.43,3.68,4.65,5.39,4.80,4.51,3.92,3.12,2.64,1.70,1.52,40.49
232,Santa Maria II,Central Coast Valleys,2.14,2.71,3.92,4.76,5.57,5.58,5.58,5.12,4.30,3.56,2.33,1.78,47.35
233,Joshua Tree,San Bernardino,--,--,--,--,--,--,--,--,--,--,--,--,
234,Newberry Springs II,San Bernardino,2.32,3.81,6.30,8.07,9.18,10.92,10.51,9.96,7.58,5.38,3.54,2.31,79.88
235,Verona,Sacramento Valley,1.32,2.12,3.46,5.35,6.83,7.51,7.76,6.71,4.99,3.61,1.75,1.21,52.62
236,Macdoel II,Northeast Plateau,0.98,1.74,2.86,4.46,5.63,7.37,7.76,6.79,4.55,2.86,1.39,0.90,47.29
237,Temecula East III,South Coast Valleys,2.66,3.24,4.75,5.89,6.37,7.60,7.66,7.66,6.07,4.90,3.42,2.40,62.62
239,Hemet,South Coast Valleys,2.12,2.95,4.63,6.04,6.13,8.22,8.67,8.34,6.22,4.83,3.13,2.12,63.4
240,Perris - Menifee,South Coast Valleys,2.30,2.89,4.47,5.85,6.30,7.96,8.12,7.66,5.85,4.45,2.84,2.15,60.84
241,San Clemente,South Coast Valleys,2.34,2.61,3.82,4.82,5.21,5.73,6.21,6.00,4.77,3.64,2.63,2.07,49.85
242,Staten Island,San Joaquin Valley,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
243,Ryde,Sacramento Valley,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
244,Biggs,Sacramento Valley,1.20,1.90,3.39,5.26,6.75,7.75,8.18,7.17,5.26,3.68,1.90,1.19,53.63
245,Coto de Caza,South Coast Valleys,2.34,2.61,3.82,4.82,5.21,5.73,6.21,6.00,4.77,3.64,2.63,2.07,49.85
246,Markleeville,Eastern Sierra Basin & Range,1.14,1.89,3.62,5.10,6.56,7.78,8.59,7.63,5.39,3.36,1.62,0.94,53.62
247,Jersey Island,San Francisco Bay,1.23,2.07,3.83,5.51,7.51,8.74,8.93,7.79,5.87,3.93,1.87,1.27,58.55
248,Holt,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
249,Ripon,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
250,Williams,Sacramento Valley,1.20,1.90,3.39,5.26,6.75,7.75,8.18,7.17,5.26,3.68,1.90,1.19,53.63
251,Highland,Los Angeles Basin,2.48,2.91,4.39,5.29,6.13,6.82,6.93,7.09,5.50,4.05,2.79,2.29,56.67
252,Soledad II,Monterey Bay,1.79,2.38,3.99,5.33,6.52,7.02,6.93,6.19,4.85,3.68,2.15,1.57,52.4
253,Pescadero,San Francisco Bay,1.56,1.93,3.11,4.09,4.50,4.92,4.44,4.21,3.56,2.87,1.84,1.47,38.5
254,Oakland Metro,San Francisco Bay,1.37,1.96,3.31,4.44,5.39,6.04,6.23,5.39,4.38,3.08,1.68,1.22,44.49
255,Chino,San Bernardino,1.95,2.41,3.75,4.55,5.19,5.97,6.60,6.41,4.88,3.46,2.31,1.72,49.2
256,Lancaster,Los Angeles Basin,2.26,3.11,4.95,6.59,8.22,9.24,9.62,8.50,6.42,4.56,2.90,2.00,68.37
257,Ridgecrest,Bishop,2.22,3.04,5.40,7.13,9.16,10.05,9.69,8.54,6.82,4.77,2.74,2.01,71.57
258,Lemon Cove,San Joaquin Valley,1.17,1.83,3.40,4.89,6.79,7.80,8.09,7.22,5.29,3.43,1.72,1.14,52.77
259,Ferndale Plain,North Coast Valleys,1.56,1.93,3.11,4.09,4.50,4.92,4.44,4.21,3.56,2.87,1.84,1.47,38.5
260,Montague,Northeast Plateau,0.89,1.57,3.02,4.41,5.94,7.30,8.14,7.09,4.96,2.97,1.22,0.82,48.33
261,Gazelle,Northeast Plateau,0.89,1.57,3.02,4.41,5.94,7.30,8.14,7.09,4.96,2.97,1.22,0.82,48.33
262,Linden,San Joaquin Valley,1.11,1.96,3.54,5.09,6.77,7.73,8.01,7.04,5.16,3.41,1.70,1.05,52.57
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                